date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-14,21.88,21.88,21.73,21.6,50901.46,-0.15,-0.69,21.852,21.702,22.055,58906.79,58866.77,78051.7,0.98
2016-10-13,21.9,21.95,21.88,21.79,48378.98,0.04,0.18,21.794,21.754,22.124,55452.61,64201.48,83502.38,0.93
2016-10-12,21.81,21.99,21.85,21.76,60843.15,-0.04,-0.18,21.7,21.787,22.181,55838.78,68202.63,86988.31,1.17
2016-10-11,21.91,22.03,21.89,21.79,63201.59,-0.02,-0.09,21.624,21.839,22.215,55962.01,71681.51,87129.98,1.21
2016-10-10,21.62,21.94,21.91,21.58,71208.78,0.47,2.19,21.594,21.861,22.247,55855.47,71226.86,88647.85,1.37
2016-09-30,21.4,21.54,21.44,21.36,33630.53,0.03,0.14,21.552,21.894,22.292,58826.76,69630.3,90131.38,0.65
2016-09-29,21.46,21.63,21.41,21.4,50309.87,-0.05,-0.23,21.714,21.957,22.379,72950.36,72688.19,95924.55,0.97
2016-09-28,21.88,21.88,21.47,21.45,61459.3,-0.27,-1.24,21.874,22.052,22.456,80566.47,76057.94,97421.61,1.18
2016-09-27,21.67,21.82,21.74,21.42,62668.87,0.05,0.23,22.054,22.128,22.534,87401.01,84699.71,98883.69,1.2
2016-09-26,22.28,22.28,21.7,21.63,86065.21,-0.54,-2.43,22.128,22.273,22.58,86598.25,97345.65,99447.59,1.65
2016-09-23,22.22,22.57,22.25,22.02,104248.53,0.05,0.23,22.236,22.407,22.622,80433.84,97236.62,98645.69,2.0
2016-09-22,22.4,22.45,22.21,22.19,88390.45,-0.16,-0.71,22.2,22.493,22.648,72426.03,102803.27,96734.17,1.7
2016-09-21,22.14,22.41,22.37,22.01,95631.98,0.26,1.18,22.23,22.575,22.672,71549.41,105773.98,95970.92,1.84
2016-09-20,22.25,22.34,22.11,22.02,58655.07,-0.14,-0.63,22.202,22.59,22.689,81998.41,102578.45,98885.76,1.13
2016-09-19,22.19,22.43,22.24,22.17,55243.16,0.17,0.77,22.418,22.633,22.755,108093.06,106068.85,103090.17,1.06
2016-09-14,22.19,22.3,22.07,22.01,64209.47,-0.31,-1.39,22.578,22.689,22.804,114039.4,110632.46,105215.73,1.23
2016-09-13,22.4,22.48,22.36,22.02,84007.38,0.14,0.63,22.786,22.801,22.868,133180.52,119160.92,107595.8,1.61
2016-09-12,22.75,22.76,22.23,22.19,147876.98,-0.97,-4.18,22.92,22.86,22.92,139998.55,118785.27,110532.43,2.84
2016-09-09,23.05,23.45,23.19,22.96,189128.31,0.16,0.69,22.978,22.939,22.974,123158.49,113067.66,110728.75,3.63
2016-09-08,23.15,23.4,23.04,22.91,84974.86,-0.08,-0.35,22.848,22.887,22.958,104044.64,101549.53,105372.91,1.63
2016-09-07,23.0,23.37,23.11,22.92,159915.05,0.09,0.39,22.8,22.836,22.933,107225.52,100054.76,107263.43,3.07
2016-09-06,22.58,23.11,23.03,22.32,118097.57,0.51,2.27,22.816,22.802,22.938,105141.32,90665.07,105350.77,2.27
2016-09-05,22.75,22.77,22.52,22.49,63676.65,-0.04,-0.18,22.8,22.768,22.958,97571.99,86167.86,109100.45,1.22
2016-09-02,22.86,22.93,22.54,22.4,93559.05,-0.27,-1.18,22.9,22.788,22.975,102976.84,95193.08,111172.03,1.8
2016-09-01,23.18,23.37,22.8,22.78,100879.28,-0.39,-1.68,22.926,22.877,22.977,99054.42,100111.5,113191.36,1.94
2016-08-31,22.68,23.25,23.19,22.63,149494.03,0.22,0.96,22.872,22.918,22.985,92883.99,99799.0,115829.2,2.87
2016-08-30,23.09,23.18,22.95,22.81,80250.96,-0.07,-0.3,22.788,22.935,22.952,76188.82,96030.69,114473.25,1.54
2016-08-29,22.63,23.07,23.02,22.63,90700.88,0.35,1.54,22.736,22.979,22.924,74763.72,102279.58,115317.28,1.74
2016-08-26,22.64,22.84,22.67,22.57,73946.95,0.15,0.67,22.676,23.009,22.877,87409.32,108389.83,118367.21,1.42
2016-08-25,22.7,22.7,22.53,22.25,70027.14,-0.24,-1.05,22.828,23.028,22.864,101168.57,109196.29,123604.21,1.35
2016-08-24,22.7,22.95,22.77,22.67,66018.15,0.1,0.44,22.964,23.029,22.894,106714.01,114472.11,128489.86,1.27
2016-08-23,22.67,22.89,22.69,22.55,73125.48,-0.02,-0.09,23.082,23.073,22.92,115872.57,120036.48,141347.87,1.4
2016-08-22,23.39,23.4,22.72,22.7,153928.86,-0.71,-3.03,23.222,23.147,23.024,129795.44,132033.04,144815.06,2.96
2016-08-19,23.29,23.55,23.43,23.28,142743.23,0.21,0.9,23.342,23.162,23.109,129370.34,127150.98,145760.1,2.74
2016-08-18,23.37,23.44,23.21,23.17,97754.31,-0.15,-0.64,23.228,23.076,23.177,117224.0,126271.23,148152.46,1.88
2016-08-17,23.36,23.49,23.36,23.18,111810.97,-0.02,-0.09,23.094,23.052,23.255,122230.22,131859.39,152651.93,2.15
2016-08-16,23.47,23.59,23.39,23.22,142739.81,0.08,0.34,23.064,22.968,23.33,124200.39,132915.81,156871.75,2.74
2016-08-15,22.99,23.44,23.32,22.79,151803.38,0.46,2.01,23.072,22.869,23.415,134270.65,128354.98,161721.89,2.92
2016-08-12,22.51,22.93,22.86,22.51,82011.53,0.32,1.42,22.982,22.744,23.5,124931.61,128344.6,163915.9,1.58
2016-08-11,23.01,23.14,22.54,22.52,122785.39,-0.67,-2.89,22.924,22.7,23.616,135318.47,138012.14,168772.75,2.36
2016-08-10,23.3,23.63,23.21,23.2,121661.84,-0.22,-0.94,23.01,22.758,23.759,141488.57,142507.61,174851.89,2.34
2016-08-09,22.91,23.73,23.43,22.91,193091.12,0.57,2.49,22.872,22.766,23.876,141631.24,162659.26,190746.69,3.71
2016-08-08,22.48,22.99,22.87,22.43,105108.18,0.31,1.37,22.666,22.9,23.971,122439.31,157597.09,199181.14,2.02
2016-08-05,22.98,22.98,22.57,22.53,133945.8,-0.4,-1.74,22.506,23.055,24.07,131757.58,164369.22,213935.51,2.57
